1,Enterobacter cloaceae,Enterobacteriaceae
2,Enterococcus faecalis,Enterococcus spp
3,Enterococcus faecium,Enterococcus spp
4,Escherichia coli,Enterobacteriaceae
5,Haemophilus influenzae,Haemophilus spp
6,Haemophilus parainfluenzae,Haemophilus spp
7,Kblebsiella pneumoniae,Enterobacteriaceae
8,Pseudomonas aeruginosa,Pseudomonas
9,Salmonella sp.,Enterobacteriaceae
10,Shigella sp.,Enterobacteriaceae
11,Staphylococcus aureus,Staphylococcus aureus
12,Staphylococcus epidermidis,CoNS
13,Staphylococcus saprophyticus,CoNS
14,Streptococcus agalactiae ,Streptococcus b hemolytic
15,Streptococcus pneumoniae,Streptococcus pneumoniae
16,Streptococcus pyogenes,Streptococcus b hemolytic
